name, latitude, longitude
Elgin Mills Road and Redstone Road ,43.89721669,-79.40060877
Jane St. at Kirby Road,43.88622037,-79.54505474
Davis Dr. at Harry Walker Pkwy.,44.06709185,-79.42669766
 Dufferin St. at King Vaughan Rd.,43.91585095,-79.50063299
Elgin Mills Road at Regent Street,43.88727428,-79.45192711
Bloomington Road at McCowan Road,43.99578407,-79.31225343
Park Rd. & Ravenshoe Rd.,44.23271495,-79.2875663
Warden Avenue & 19th Avenue ,43.92842681,-79.35235751
Main Street and York-Durham Line,43.97701659,-79.22230559
Bathurst Street and Shaftsbury Ave ,43.89438905,-79.46962894
Bathurst Street and Gamble Road,43.90225985,-79.47155849
Highway 7 and Bathurst Street,43.8292828,-79.45424548
Yonge and Stouffville,43.92608297,-79.45044451
Bathurst Street and Teston Road/Elgin Mills Road,43.88410798,-79.46737202
Jane Street and Major Mackenzie Drive,43.84950602,-79.53663603
Yonge Street and Clark Ave,43.80713996,-79.42237103
Highway 7 and Ninth Line,43.878847,-79.23483197
Jane and Langstaff,43.81249898,-79.52845058
Davis Drive at Woodbine Avenue,44.07136032,-79.4073066
Jane Street at Tierra Avenue/Cunningham Drive,43.85708476,-79.53829855
Warden Ave and Baseline Road ,44.28743289,-79.43500385
Bathurst and 16th Sdrd / Henderson Dr,43.97564005,-79.49000216
14th Avenue and Kennedy Road,43.84348809,-79.30490169
Kennedy Rd. and Denison St.,43.83444253,-79.30440993
Leslie Street and John Street,43.822318,-79.37007694
Warden and Denison,43.82743652,-79.32644606
Rutherford Road & Confederation Parkway/Peter Rupert Avenue,43.84073565,-79.49224507
Woodbine Avenue at John St / Esna Park,43.8252878,-79.35162822
McCowan Road & Carlton Road/Raymerville Drive,43.87704997,-79.28693157
Teston Rd. at Cityview Boulevard,43.86465796,-79.55483195
Bloomington Rd at Warden Avenue,43.98500957,-79.3614548
Teston Rd. and Weston Rd.,43.86303919,-79.56479573
Box Grove ByPass and Copper Creek Drive,43.86510127,-79.22907079
Kennedy Road at Carlton Road,43.87000206,-79.3051369
