OBJECTID,SEGMENTID,FULL_NAME,FROM_STREET,TO_STREET,LEGALSHIELD,LIFECYCLESTATUS,ROADNUMBER,ROADSECTION,MAINTBYSUMMER,MAINTBYWINTER,MAINTSECTION,MAINTCLASS,ROADTYPE,PREVSEGMENT,NEXTSEGMENT,NUMLANES,OWNEDBY,SHAPESTLength
1122,07-18M,Highway 7 Rapidway,Jane Street,Keele Street,7,Active,7,18,SW,SW,SW,1,Rapidway,07-16M,07-19M,2,Metrolinx,2132.94571757609
1123,65-34,Warden Avenue,Mount Albert Road,Doane Road,65,Active,65,34,NO,NO,NO,3,Regional Road,65-32,65-36,2,York Region,2049.06957392059
1124,13-30,Mount Albert Road,Highway 404,Woodbine Avenue,13,Active,13,30,NO,NO,NO,3,Regional Road,13-29,13-32,2,York Region,358.733362717643
1125,79-48,Old Homestead Road,Park Road,Stoney Batter Road,79,Active,79,48,NO,NO,NO,3,Regional Road,79-44,79-52,2,York Region,3600.28073199604
1126,32-34,Ravenshoe Road,Warden Avenue,Kennedy Road,32,Active,32,34,NO,NO,NO,2,Regional Road,32-32,32-36,2,York Region,2025.64172357692
1127,56-22,Weston Road,16th Sideroad,17th Sideroad,56,Active,56,22,CE,CE,CE,3,Regional Road,56-20,56-24,2,York Region,2094.00630590751
1128,25-06,Major Mackenzie Drive West,Highway 50,Huntington Road,25,Active,25,6,SW,SW,SW,3,Regional Road,Start,25-08,2,York Region,1556.03692045622
1129,65-28,Warden Avenue,Vivian Road,Davis Drive,65,Active,65,28,CE,CE,CE,3,Regional Road,65-26,65-30,2,York Region,2072.01544126055
1130,24-02,Highway 50,Highway 407,Highway 7,24,Active,24,2,,,SW,,Regional Road,,,4,Part Owner,1908.17785844337
1131,40-34,Bloomington Road,Warden Avenue,Kennedy Road,40,Active,40,34,CE,CE,CE,2,Regional Road,40-32,40-36,2,York Region,2046.26254754214
1132,73-32,16th Avenue,Woodbine Avenue,Warden Avenue,73,Active,73,32,SE,SE,SE,2,Regional Road,73-30,73-34,6,York Region,2060.69476284275
1133,07-41,Highway 7,Ninth Line,Donald Cousens Parkway,7,Active,7,41,SE,SE,SE,2,Regional Road,07-40,07-42,5,York Region,1714.06987791153
1134,73-42,16th Avenue,Cornell Centre Boulevard,Donald Cousens Parkway,73,Active,73,42,SE,SE,SE,2,Regional Road,73-41,73-43,4,York Region,565.408893375274
1135,27-92,Highway 27 - Highway 7 Ramp,Highway 27,Highway 7,27,Active,27,92,SW,SW,SW,2,Channelized Right Turn Lane,Start,End,1,York Region,762.031777204225
1136,71-22E,Centre Street Eastbound,Dufferin Street,Bathurst Street,71,Active,71,22,SW,SW,SW,1,Regional Road,Start,End,2,York Region,2110.49351260825
1137,08-42,Woodbine Avenue,Highway 404,Ravenshoe Road,8,Active,8,42,NO,NO,NO,2,Regional Road,08-41,08-44,4,York Region,541.474757929705
1138,07-30E,Highway 7 Eastbound,Highway 404,Woodbine Avenue,7,Active,7,30,SE,SE,SE,1,Regional Road,07-29E,07-32E,3,York Region,1121.27173935028
1139,48-09,Donald Cousens Parkway,Ninth Line,Major Mackenzie Drive East,48,Active,48,9,SE,SE,SE,3,Regional Road,48-08,End,4,York Region,1768.59434972505
1140,83-34,Holland Landing Road,Bradford Street,Bathurst Street,83,Active,83,34,NO,NO,NO,3,Regional Road,83-33,83-36,2,York Region,1701.17545577802
1141,49-14,Teston Road,Pine Valley Drive,Weston Road,49,Active,49,14,SW,SW,SW,3,Regional Road,49-08,49-15,2,York Region,2147.17849185866
1142,73-43,16th Avenue,Donald Cousens Parkway,Reesor Road,73,Active,73,43,SE,SE,SE,3,Regional Road,73-42,73-44,2,York Region,258.168786066212
1143,67-16,McCowan Road,Stouffville Road,Bethesda Sideroad,67,Active,67,16,SE,SE,SE,3,Regional Road,67-14,67-18,2,York Region,2100.03412073574
1144,01-28M,Yonge Street Rapidway,Eagle Street / Eagle Street West,Davis Drive / Davis Drive West,1,Active,1,28,CE,CE,CE,1,Rapidway,01-27M,01-30,2,Metrolinx,1059.76808670682
1145,48-04,Donald Cousens Parkway,14th Avenue,Highway 407,48,Active,48,4,SE,SE,SE,3,Regional Road,48-03,48-05,4,York Region,1489.65296418283
1146,24-08,Highway 50,Rutherford Road,Major Mackenzie Drive West,24,Active,24,8,,,SW,,Regional Road,,,4,Part Owner,1963.10957020062
1147,78-52,Metro Road North,Boyers Sideroad,Deer Park Road,78,Active,78,52,NO,NO,NO,3,Regional Road,78-50,78-54,2,York Region,1190.49443375649
1148,69-10,Ninth Line,Major Mackenzie Drive East,Elgin Mills Road East,69,Active,69,10,SE,SE,SE,2,Regional Road,69-09,69-12,2,York Region,1992.10956893187
1149,56-10,Weston Road,Major Mackenzie Drive West,Teston Road,56,Active,56,10,SW,SW,SW,2,Regional Road,56-08,56-12,2,York Region,2050.34881075138
1150,74-34,Vivian Road,Warden Avenue,Kennedy Road,74,Active,74,34,CE,CE,CE,3,Regional Road,74-32,74-36,2,York Region,2001.82904060358
1151,03-20,Kennedy Road,Bloomington Road,Vandorf Sideroad,3,Active,3,20,CE,CE,CE,3,Regional Road,03-18,03-22,2,York Region,2077.1102667052
1152,07-28W,Highway 7 Westbound,Bayview Avenue,Leslie Street,7,Active,7,28,SE,SE,SE,1,Regional Road,Start,07-29W,3,York Region,2060.91415823857
1153,07-20,Highway 7,Centre Street / North Rivermede Road,Dufferin Street,7,Active,7,20,SW,SW,SW,1,Regional Road,07-19,07-21,7,York Region,1670.6964023837
1154,07-07,Highway 7,Huntington Road,Highway 427,7,Active,7,7,SW,SW,SW,1,Regional Road,07-06,07-08,6,York Region,1056.81807649531
1155,73-24,Carrville Road,Bathurst Street / Rutherford Road,16th Avenue / Yonge Street,73,Active,73,24,SW,SW,SW,2,Regional Road,73-22,73-26,4,York Region,2144.24266334342
1156,03-50,Kennedy Road,Old Homestead Road,Lockie Sideroad,3,Active,3,50,NO,NO,NO,3,Regional Road,03-48,03-52,2,York Region,2030.05498090957
1157,56-24,Weston Road,17th Sideroad,18th Sideroad,56,Active,56,24,CE,CE,CE,3,Regional Road,56-22,56-25,2,York Region,2039.46136106632
1158,56-12,Weston Road,Teston Road,Kirby Road,56,Active,56,12,SW,SW,SW,3,Regional Road,56-10,56-14,2,York Region,2091.33371212633
1159,31-18,Davis Drive West,Jane Street,Keele Street,31,Active,31,18,CE,CE,CE,1,Regional Road,31-16,31-20,5,York Region,1957.72652040139
1160,27-06,Highway 27,Langstaff Road,Rutherford Road,27,Active,27,6,SW,SW,SW,2,Regional Road,27-04,27-07,5,York Region,2193.61913702027
1161,27-04,Highway 27,Highway 7,Langstaff Road,27,Active,27,4,SW,SW,SW,2,Regional Road,27-02,27-06,5,York Region,2064.64873705783
1162,01-27M,Yonge Street Rapidway,Mulock Drive,Eagle Street / Eagle Street West,1,Active,1,27,CE,CE,CE,1,Rapidway,01-26M,01-28M,2,York Region,1030.93240170814
1163,12-44,The Queensway South,Leslie Street / Ravenshoe Road,Glenwoods Avenue,12,Active,12,44,NO,NO,NO,2,Regional Road,12-42,12-46,4,York Region,2177.24084378409
1164,27-28,Highway 27,Lloydtown/Aurora Road,Highway 9,27,Active,27,28,CE,CE,CE,2,Regional Road,27-26,End,3,York Region,2063.82169517927
1165,34-28,Prospect Street,Gorham Street / Water Street,Davis Drive / Lundys Lane,34,Active,34,28,CE,CE,CE,3,Regional Road,34-27,34-32,3,York Region,1013.95680468626
1166,12-26,Leslie Street,St Johns Sideroad,Mulock Drive,12,Active,12,26,CE,CE,CE,2,Regional Road,12-24,12-27,2,York Region,2079.35184099595
1167,32-24,Ravenshoe Road,York Region-Simcoe Border,Yonge Street,32,Active,32,24,NO,NO,NO,4,Regional Road,Start,32-26,2,York Region,98.5730839945672
1168,95-40,Steeles Avenue East,Markham Road,Ninth Line,95,Active,95,40,,,SE,0,Regional Road,95-38,95-42,4,Toronto,2135.20574824754
1169,14-20,King Vaughan Road,Keele Street,Dufferin Street,14,Active,14,20,SW,SW,SW,3,Regional Road,14-18,14-22,2,York Region,1894.7430909968
1170,55-18,Jane Street,King Road,15th Sideroad,55,Active,55,18,CE,CE,CE,3,Regional Road,55-16,55-20,2,York Region,2094.62910202576
1171,07-93,Highway 7 - Bayview Avenue Interchange,Highway 7,Bayview Avenue,7,Active,7,93,SE,SE,SE,2,Regional Road,Start,End,4,York Region,422.492318147967
1172,49-20,Teston Road,Keele Street,Unopened Road Allowance,49,Active,49,20,SW,SW,SW,4,Regional Road,49-18,49-21,2,York Region,492.692084029113
1173,29-24,Gamble Road,Bathurst Street,19th Avenue / Yonge Street,29,Active,29,24,SW,SW,SW,3,Regional Road,Start,29-26,2,York Region,2175.76107528023
1174,71-19E,Centre Street Eastbound,Highway 7,Highway 407,71,Active,71,19,SW,SW,SW,,Regional Road,Start,71-21E,2,Province of Ontario,192.484229376337
1175,16-10,Lloydtown/Aurora Road,Highway 27,8th Concession,16,Active,16,10,CE,CE,CE,3,Regional Road,Start,16-12,2,York Region,2032.6377663739
1176,01-04,Yonge Street,Highway 407,Highway 7,1,Active,1,4,SE,SE,SE,1,Regional Road,01-03,01-06,6,York Region,187.954719931226
1177,18-56,Park Road,Highway 48,Black River Road,18,Active,18,56,NO,NO,NO,3,Regional Road,18-54,18-58,2,York Region,1444.9968083083
1178,15-20,17th Sideroad,Keele Street,Dufferin Street,15,Active,15,20,CE,CE,CE,4,Regional Road,15-18,15-22,2,York Region,2126.36341490868
1179,08-46,Woodbine Avenue,Glenwoods Avenue,Morton Avenue / Pollock Road,8,Active,8,46,NO,NO,NO,2,Regional Road,08-45,08-48,4,York Region,2062.83194500013
1180,09-54,Dalton Road,Black River Road,Oconnor Drive,9,Active,9,54,NO,NO,NO,3,Regional Road,09-53,End,4,York Region,1317.62727901528
1181,08-41,Woodbine Avenue,Boag Road,Highway 404,8,Active,8,41,NO,NO,NO,2,Regional Road,08-40,08-42,2,York Region,1325.3517387313
1182,65-50,Warden Avenue,Old Homestead Road,Boyers Sideroad,65,Active,65,50,NO,NO,NO,3,Regional Road,65-48,65-52,2,York Region,2078.94888707717
1183,95-11,Steeles Avenue West,Kipling Avenue,Islington Avenue,95,Active,95,11,,,SW,0,Regional Road,95-10,95-12,4,Toronto,1364.94930603572
1184,88-34,Baseline Road,Warden Avenue,Kennedy Road,8A,Active,88,34,NO,NO,NO,2,Regional Road,88-32,88-36,2,York Region,2019.85845625459
1185,08-28,Woodbine Avenue,Vivian Road,Davis Drive,8,Active,8,28,CE,CE,CE,2,Regional Road,08-26,08-30,2,York Region,2061.82258741804
1186,31-29,Davis Drive,Leslie Street,Highway 404,31,Active,31,29,CE,CE,CE,2,Regional Road,31-28,31-30,5,York Region,961.931281034236
1187,67-36,McCowan Road,Doane Road,Queensville Sideroad,67,Active,67,36,NO,NO,NO,3,Regional Road,67-34,67-38,2,York Region,2052.11053621065
1188,01-14M,Yonge Street Rapidway,19th Avenue / Gamble Road,Stouffville Road,1,Active,1,14,SE,SE,SE,1,Rapidway,01-12M,01-16,2,Metrolinx,2058.92269525571
1189,65-46,Warden Avenue,Glenwoods Avenue,Pollock Road,65,Active,65,46,NO,NO,NO,3,Regional Road,65-44,65-47,2,York Region,2055.18752657974
1190,79-52,Old Homestead Road,Stoney Batter Road,Weirs Sideroad,79,Active,79,52,NO,NO,NO,3,Regional Road,79-48,79-54,2,York Region,3559.95560067567
1191,13-42,Mount Albert Road,Ninth Line,East Townline,13,Active,13,42,NO,NO,NO,4,Regional Road,13-40,End,2,York Region,316.468426359586
1192,40-20,15th Sideroad,Keele Street,Dufferin Street,40,Active,40,20,CE,CE,CE,3,Regional Road,Start,40-22,2,York Region,2003.82258255091
1193,11-18,King Road,Jane Street,Keele Street,11,Active,11,18,SW,SW,SW,2,Regional Road,11-16,11-20,4,York Region,2174.81329817994
1194,12-06,Leslie Street,Highway 7,16th Avenue,12,Active,12,6,SE,SE,SE,2,Regional Road,12-04,12-08,5,York Region,2044.15557062022
1195,70-02,Reesor Road,14th Avenue,14th Avenue,70,Active,70,2,SE,SE,SE,3,Regional Road,Start,End,2,York Region,110.782819065052
1196,38-03M,Bathurst Street Rapidway,Centre Street,Highway 407,38,Active,38,3,SW,SW,SW,1,Rapidway,38-02,38-04,2,Metrolinx,1879.04941833474
1197,12-22,Leslie Street,Vandorf Sideroad,Wellington Street East,12,Active,12,22,CE,CE,CE,3,Regional Road,12-20,12-24,2,York Region,2004.21939892049
1198,71-34,14th Avenue,Alden Road / Warden Avenue,Kennedy Road,71,Active,71,34,SE,SE,SE,2,Regional Road,Start,71-36,5,York Region,2058.65945708649
1199,12-40,Leslie Street,Holborn Road,Boag Road,12,Active,12,40,NO,NO,NO,2,Regional Road,12-38,12-42,2,York Region,2059.95265590618
1200,12-36,Leslie Street,Doane Road / Jeffery Crescent,Queensville Sideroad,12,Active,12,36,NO,NO,NO,2,Regional Road,12-34,12-37,2,York Region,1974.03175069788
1201,95-15,Steeles Avenue West,Weston Road,Highway 400,95,Active,95,15,,,SW,0,Regional Road,95-14,95-16,4,Toronto,965.470819934803
1202,07-19W,Highway 7 Westbound,Keele Street,Centre Street / North Rivermede Road,7,Active,7,19,SW,SW,SW,1,Regional Road,07-18W,07-20,3,York Region,1616.72759097839
1203,17-06,Islington Avenue,Langstaff Road,Rutherford Road,17,Active,17,6,SW,SW,SW,2,Regional Road,17-04,17-08,5,York Region,1991.59949969232
1204,49-15,Teston Road,Weston Road,Highway 400,49,Active,49,15,SW,SW,SW,3,Regional Road,49-14,49-16,2,York Region,977.483750043219
1205,07-97,Highway 7 - Langstaff Road Ramp,Highway 7 ,Langstaff Road,7,Active,7,97,SW,SW,SW,1,Channelized Right Turn Lane,07-22,72-21,1,York Region,193.33329276112
1206,03-44,Kennedy Road,Ravenshoe Road,Glenwoods Avenue,3,Active,3,44,NO,NO,NO,3,Regional Road,03-42,03-46,2,York Region,2057.67356944851
1207,01-26M,Yonge Street Rapidway,St Johns Sideroad,Mulock Drive,1,Active,1,26,CE,CE,CE,1,Rapidway,01-24,01-27M,2,York Region,2059.13735251724
1208,34-22,Bayview Avenue,Vandorf Sideroad,Wellington Street East,34,Active,34,22,CE,CE,CE,2,Regional Road,34-20,34-24,2,York Region,2080.96485243834
1209,25-41,Major Mackenzie Drive East,Donald Cousens Parkway,Ninth Line,25,Active,25,41,SE,SE,SE,2,Regional Road,25-40,25-42,4,York Region,1163.3564004579
1210,31-26W,Davis Drive Westbound,Main Street North / Main Street South,Lundys Lane / Prospect Street,31,Active,31,26,CE,CE,CE,2,Regional Road,31-25,31-28,2,York Region,590.622399285809
1211,65-38,Warden Avenue,Queensville Sideroad,Holborn Road,65,Active,65,38,NO,NO,NO,3,Regional Road,65-36,65-40,2,York Region,2266.31357418413
1212,40-36,Bloomington Road,Kennedy Road,McCowan Road,40,Active,40,36,CE,CE,CE,1,Regional Road,40-34,40-38,2,York Region,2102.52456379236
1213,95-18,Steeles Avenue West,Jane Street,Keele Street,95,Active,95,18,,,SW,0,Regional Road,95-16,95-20,6,Toronto,2294.21306355789
1214,16-93,Lloydtown/Aurora Road,Lloydtown/Aurora Road,8th Concession,16,Active,16,93,CE,CE,CE,3,Regional Road,16-10,END,2,York Region,123.308952698233
1215,74-36,Vivian Road,Kennedy Road,McCowan Road,74,Active,74,36,CE,CE,CE,3,Regional Road,74-34,74-38,2,York Region,2096.34083318117
1216,01-14N,Yonge Street Northbound,19th Avenue / Gamble Road,Stouffville Road,1,Active,1,14,SE,SE,SE,2,Regional Road,01-12N,01-16,2,York Region,2069.37016451941
1217,08-34,Woodbine Avenue,Mount Albert Road,Doane Road,8,Active,8,34,NO,NO,NO,2,Regional Road,08-32,08-36,4,York Region,2067.94603883753
1218,32-56,Ravenshoe Road,Victoria Road,Lake Ridge Road,32,Active,32,56,NO,NO,NO,3,Regional Road,32-54,End,2,York Region,2306.03929384993
1219,57-08,Pine Valley Drive,Rutherford Road,Major Mackenzie Drive West,57,Active,57,8,SW,SW,SW,4,Regional Road,57-04,57-10,2,York Region,2087.40410628725
1220,32-44,Ravenshoe Road,East Townline / Miles Road,Park Road,32,Active,32,44,NO,NO,NO,2,Regional Road,32-40,32-48,2,York Region,3373.52738788841
1221,68-01,Markham Road,Steeles Avenue East,Denison Street,68,Active,68,1,SE,SE,SE,2,Regional Road,Start,68-02,6,York Region,880.473672720388
1222,71-42,14th Avenue,Box Grove Bypass,Box Grove Collector Road,71,Active,71,42,SE,SE,SE,3,Regional Road,71-41,71-43,2,York Region,696.816942530071
1223,83-36,Holland Landing Road,Bathurst Street,Bathurst Street,83,Active,83,36,NO,NO,NO,3,Regional Road,83-34,End,2,York Region,225.672025613737
1224,71-36,14th Avenue,Kennedy Road,McCowan Road,71,Active,71,36,SE,SE,SE,2,Regional Road,71-34,71-38,5,York Region,2126.4863236559
1225,03-24,Kennedy Road,Aurora Road,St Johns Sideroad,3,Active,3,24,CE,CE,CE,3,Regional Road,03-22,03-26,2,York Region,2079.44459971143
1226,48-03,Donald Cousens Parkway,Box Grove Bypass,14th Avenue,48,Active,48,3,SE,SE,SE,2,Regional Road,48-02,48-04,4,York Region,642.490644741257
1227,53-02,Dufferin Street,Steeles Avenue West,Centre Street,53,Active,53,2,SW,SW,SW,2,Regional Road,Start,53-03,6,York Region,2071.10171416781
1228,78-50,Metro Road North,Old Homestead Road,Boyers Sideroad,78,Active,78,50,NO,NO,NO,3,Regional Road,78-48,78-52,2,York Region,2165.33938863045
1229,53-24,Dufferin Street,Wellington Street West,18th Sideroad / Lloydtown/Aurora Road,53,Active,53,24,CE,CE,CE,2,Regional Road,53-22,End,2,York Region,2045.92571141712
1230,03-04,Kennedy Road,Highway 407,Highway 7,3,Active,3,4,SE,SE,SE,2,Regional Road,03-03,03-06,5,York Region,1513.3722593168
1231,08-38,Woodbine Avenue,Queensville Sideroad,Holborn Road,8,Active,8,38,NO,NO,NO,3,Regional Road,08-36,08-40,2,York Region,2248.60843794587
1232,15-32,Aurora Road,Woodbine Avenue,Warden Avenue,15,Active,15,32,CE,CE,CE,2,Regional Road,15-30,15-34,2,York Region,2134.6273501722
1233,57-01,Pine Valley Drive,Steeles Avenue West,Highway 407,57,Active,57,1,SW,SW,SW,2,Regional Road,Start,57-02,5,York Region,1024.36364661775
1234,32-32,Ravenshoe Road,Highway 404 Extension,Warden Avenue,32,Active,32,32,NO,NO,NO,2,Regional Road,32-31,32-34,2,York Region,1755.4533188196
1235,27-02,Highway 27,Highway 407,Highway 7,27,Active,27,2,SW,SW,SW,2,Regional Road,27-01,27-04,5,York Region,1711.68751932554
1236,15-30,Aurora Road,Wellington Street East,Woodbine Avenue,15,Active,15,30,CE,CE,CE,2,Regional Road,15-29,15-32,4,York Region,952.315485779034
1237,45-29,Doane Road,Jeffery Crescent,Highway 404,45,Active,45,29,NO,NO,NO,4,Regional Road,45-28,45-30,2,York Region,1228.06711908834
1238,49-24,Elgin Mills Road West,Bathurst Street / Teston Road,Elgin Mills Road East / Yonge Street,49,Active,49,24,SW,SW,SW,3,Regional Road,49-22,49-26,3,York Region,2167.35280951591
1239,11-06,King Road,11th Concession,10th Concession,11,Active,11,6,SW,SW,SW,2,Regional Road,11-04,11-08,2,York Region,2055.72865717149
1240,17-08,Islington Avenue,Rutherford Road,Major Mackenzie Drive West,17,Active,17,8,SW,SW,SW,2,Regional Road,17-06,End,2,York Region,2262.52711579466
1241,56-16,Weston Road,King Vaughan Road,King Road,56,Active,56,16,SW,SW,SW,3,Regional Road,56-14,56-18,2,York Region,2020.21630772333
1242,56-28,Weston Road,19th Sideroad,Highway 9,56,Active,56,28,CE,CE,CE,3,Regional Road,56-26,End,2,York Region,2018.75891713023
1243,34-02,Bayview Avenue,Steeles Avenue East,John Street,34,Active,34,2,SE,SE,SE,2,Regional Road,Start,34-03,5,York Region,1763.73066732367
1244,65-22,Warden Avenue,Vandorf Sideroad,Aurora Road,65,Active,65,22,CE,CE,CE,3,Regional Road,65-20,65-24,2,York Region,2037.24441318429
1245,31-36,Davis Drive,Kennedy Road,McCowan Road,31,Active,31,36,CE,CE,CE,2,Regional Road,31-34,31-38,2,York Region,2043.56374423349
1246,71-46,14th Avenue,Eleventh Concession,York/Durham Line,71,Active,71,46,SE,SE,SE,3,Regional Road,71-44,End,2,York Region,330.259754286186
1247,69-16,Ninth Line,Main Street,Bethesda Sideroad,69,Active,69,16,SE,SE,SE,2,Regional Road,69-14,69-18,2,York Region,2115.02385088064
1248,51-32,Yonge Street,Holland Landing Road / Old Yonge Street,Mount Albert Road / Queen Street,51,Active,51,32,NO,NO,NO,3,Regional Road,51-31,51-33,2,York Region,445.709440237509
1249,65-24,Warden Avenue,Aurora Road,St Johns Sideroad,65,Active,65,24,CE,CE,CE,3,Regional Road,65-22,65-26,2,York Region,2079.96457990946
1250,16-91,Lloydtown/Aurora Road - Jane Street Ramp,Lloydtown/Aurora Road,Jane Street,16,Active,16,91,CE,CE,CE,3,Channelized Right Turn Lane,Start,End,1,York Region,315.443780645784
1251,03-34,Kennedy Road,Mount Albert Road,Doane Road,3,Active,3,34,NO,NO,NO,3,Regional Road,03-32,03-36,2,York Region,2028.10947764212
1252,71-21W,Centre Street Westbound,Dufferin Street,Highway 407,71,Active,71,21,SW,SW,SW,,Regional Road,71-22W,71-19W,2,Province of Ontario,481.001398144732
1253,01-32,Yonge Street,Green Lane East / Green Lane West,Highway 11 / Morning Sideroad,1,Active,1,32,CE,CE,CE,2,Regional Road,01-30,01-34,5,York Region,1089.43679964744
1254,07-96E,Highway 7 Eastbound - Centre Steet Ramp,Highway 7 Eastbound,Centre Street,7,Active,7,96,SW,SW,SW,2,Channelized Right Turn Lane,07-19E,71-17S,1,York Region,236.721767405617
1255,01-16,Yonge Street,Stouffville Road,King Road,1,Active,1,16,SE,SE,SE,2,Regional Road,01-14,01-18,5,York Region,2096.54678376472
1256,53-03,Dufferin Street,Centre Street,Highway 407,53,Active,53,3,SW,SW,SW,2,Regional Road,53-02,53-04,7,York Region,1379.14363251714
1257,49-21,Teston Road,Dead End,Dufferin Street,49,Active,49,21,SW,SW,SW,5,Regional Road,49-20,49-22,2,York Region,100.765493310264
1258,14-38,Stouffville Road,McCowan Road,Highway 48 / Main Street,14,Active,14,38,SE,SE,SE,2,Regional Road,14-36,14-40,2,York Region,1901.91739498353
1259,25-24,Major Mackenzie Drive West,Bathurst Street,Major Mackenzie Drive East / Yonge Street,25,Active,25,24,SW,SW,SW,2,Regional Road,25-22,25-26,5,York Region,2137.88243160851
1260,73-40,16th Avenue,Highway 48 / Main Street Markham,Ninth Line,73,Active,73,40,SE,SE,SE,2,Regional Road,73-38,73-41,5,York Region,2068.05943597728
1261,55-16,Jane Street,King Vaughan Road,King Road,55,Active,55,16,SW,SW,SW,3,Regional Road,55-14,55-18,2,York Region,2016.55393903829
1262,67-40,McCowan Road,Holborn Road,Boag Road,67,Active,67,40,NO,NO,NO,3,Regional Road,67-38,67-42,2,York Region,2063.67166401013
1263,19-24,Green Lane West,Bathurst Street / Millers Sideroad,Green Lane East / Yonge Street,19,Active,19,24,NO,CE,NO,2,Regional Road,Start,19-26,4,York Region,2171.25826349981
1264,08-36,Woodbine Avenue,Doane Road,Queensville Sideroad,8,Active,8,36,NO,NO,NO,3,Regional Road,08-34,08-38,2,York Region,2041.46798353795
1265,38-92,Bathurst Street - Major Mackenzie Drive Ramp,Bathurst Street,Major Mackenzie Drive West,38,Active,38,92,SW,SW,SW,2,Channelized Right Turn Lane,Start,End,1,York Region,297.901296827365
1266,67-10,McCowan Road,Major Mackenzie Drive East,Elgin Mills Road East,67,Active,67,10,SE,SE,SE,2,Regional Road,67-08,67-12,2,York Region,2034.18091916746
1267,18-58,Park Road,Black River Road,Hedge Road,18,Active,18,58,NO,NO,NO,4,Regional Road,18-56,End,2,York Region,1471.96414588574
1268,14-14,King Vaughan Road,Pine Valley Drive / Concession Road 7,Weston Road,14,Active,14,14,SW,SW,SW,4,Regional Road,14-12,14-15,2,York Region,2127.90859084994
1269,56-08,Weston Road,Rutherford Road,Major Mackenzie Drive West,56,Active,56,8,SW,SW,SW,2,Regional Road,56-06,56-10,5,York Region,2104.95896486524
1270,16-90,Lloydtown/Aurora Road - Highway 27 Interchange,Lloydtown/Aurora Road,Highway 27,16,Active,16,90,CE,CE,CE,2,Channelized Right Turn Lane,Start,End,1,York Region,324.603359300971
1271,31-21,Davis Drive West,Dufferin Street,Dufferin Street / Glenville Road,31,Active,31,21,CE,CE,CE,1,Regional Road,31-20,31-22,5,York Region,710.392594856115
1272,95-07,Steeles Avenue West,Highway 50,Highway 427,95,Active,95,7,,,SW,0,Regional Road,END,95-08,4,Toronto,711.500176570522
1273,16-12,Lloydtown/Aurora Road,8th Concession,7th Concession,16,Active,16,12,CE,CE,CE,3,Regional Road,16-10,16-14,2,York Region,2290.14607777546
1274,79-36,Old Homestead Road,Highway 404 Extension,McCowan Road,79,Active,79,36,NO,NO,NO,3,Regional Road,79-35,79-38,2,York Region,656.523108854046
1275,65-12,Warden Avenue,Elgin Mills Road East,19th Avenue,65,Active,65,12,SE,SE,SE,3,Regional Road,65-10,65-14,2,York Region,2036.88993692845
1276,30-14,York/Durham Line,19th Avenue,Main Street,30,Active,30,14,SE,SE,SE,3,Regional Road,30-12,30-16,2,York Region,2055.60755340694
1277,08-50,Woodbine Avenue,Old Homestead Road,Boyers Sideroad,8,Active,8,50,NO,NO,NO,2,Regional Road,08-48,08-52,2,York Region,2065.87395439464
1278,19-30,Green Lane East,Highway 404,Herald Road / Woodbine Avenue,19,Active,19,30,NO,CE,NO,2,Regional Road,19-29,End,5,York Region,960.646948733198
1279,49-28,Elgin Mills Road East,Bayview Avenue,Leslie Street,49,Active,49,28,SE,SE,SE,2,Regional Road,49-26,49-29,5,York Region,2011.59994894418
1280,15-26,Wellington Street East,Wellington Street West / Yonge Street,Bayview Avenue,15,Active,15,26,CE,CE,CE,2,Regional Road,15-24,15-28,4,York Region,1998.28827129963
1281,81-44,Weirs Sideroad,Ravenshoe Road,Old Shiloh Road,81,Active,81,44,NO,NO,NO,3,Regional Road,Start,81-46,2,York Region,1400.33824450024
1282,27-95,Islington Avenue - Highway 27 Ramp,Islington Avenue,Highway 27,27,Active,27,95,SW,SW,SW,2,Channelized Right Turn Lane,Start,End,2,York Region,50.4905000002028
1283,06-12,Keele Street,Teston Road,Kirby Road,6,Active,6,12,SW,SW,SW,2,Regional Road,06-10,06-14,4,York Region,2069.70179700144
1284,34-18,Bayview Avenue,Bethesda Sideroad,Bloomington Road,34,Active,34,18,CE,CE,CE,2,Regional Road,34-16,34-20,2,York Region,2112.54648283299
1285,30-04,York/Durham Line,14th Avenue,Highway 407,30,Active,30,4,SE,SE,SE,3,Regional Road,30-02,30-06,2,York Region,2101.37115444452
1286,65-14,Warden Avenue,19th Avenue,Stouffville Road,65,Active,65,14,SE,SE,SE,3,Regional Road,65-12,65-16,2,York Region,2103.6088990357
1287,74-28,Mulock Drive,Bayview Avenue,Leslie Street,74,Active,74,28,CE,CE,CE,2,Regional Road,74-26,74-29,4,York Region,2102.1991902418
1288,01-10N,Yonge Street Northbound,Major Mackenzie Drive East,Elgin Mills Road East,1,Active,1,10,SE,SE,SE,2,Regional Road,01-08N,01-12N,2,York Region,803.963434461886
1289,18-44,Park Road,Ravenshoe Road,Old Shiloh Road,18,Active,18,44,NO,NO,NO,3,Regional Road,Start,18-46,2,York Region,1421.95716962762
1290,74-32,Vivian Road,Woodbine Avenue,Warden Avenue,74,Active,74,32,CE,CE,CE,3,Regional Road,74-30,74-34,2,York Region,2073.75942305294
