OBJECTID,SEGMENTID,FULL_NAME,FROM_STREET,TO_STREET,LEGALSHIELD,LIFECYCLESTATUS,ROADNUMBER,ROADSECTION,MAINTBYSUMMER,MAINTBYWINTER,MAINTSECTION,MAINTCLASS,ROADTYPE,PREVSEGMENT,NEXTSEGMENT,NUMLANES,OWNEDBY,SHAPESTLength
1468,25-22,Major Mackenzie Drive West,Dufferin Street,Bathurst Street,25,Active,25,22,SW,SW,SW,2,Regional Road,25-20,25-24,4,York Region,2055.55314609756
1469,68-03,Markham Road,14th Avenue,Highway 407,68,Active,68,3,SE,SE,SE,2,Regional Road,68-02,68-04,4,York Region,826.329176750806
1470,07-38,Highway 7,McCowan Road,Main Street Markham,7,Active,7,38,SE,SE,SE,2,Regional Road,07-36,07-40,5,York Region,2130.34071012399
1471,49-26,Elgin Mills Road East,Elgin Mills Road West / Yonge Street,Bayview Avenue,49,Active,49,26,SE,SE,SE,2,Regional Road,49-24,49-28,5,York Region,1811.19732929021
1472,07-08,Highway 7,Highway 427,Highway 27,7,Active,7,8,SW,SW,SW,1,Regional Road,07-07,07-10,7,York Region,1060.78327588127
1473,07-32E,Highway 7 Eastbound,Woodbine Avenue,Warden Avenue,7,Active,7,32,SE,SE,SE,1,Regional Road,07-30E,07-34,3,York Region,2094.5419653922
1474,14-16,King Vaughan Road,Highway 400,Jane Street,14,Active,14,16,SW,SW,SW,3,Regional Road,14-15,14-18,2,York Region,1009.68256722516
1475,73-12,Rutherford Road,Islington Avenue,Pine Valley Drive,73,Active,73,12,SW,SW,SW,2,Regional Road,73-11,73-14,5,York Region,1527.58558844393
1476,38-26,Bathurst Street,Old Bathurst Street,King-Newmarket Border,38,Active,38,26,CE,CE,CE,2,Regional Road,38-24,38-28,4,York Region,2260.97204035006
1477,26-22,18th Sideroad,Dufferin Street / Lloydtown/Aurora Road,Bathurst Street / St Johns Sideroad,26,Active,26,22,CE,CE,CE,3,Regional Road,Start,26-24,2,York Region,1997.40308069008
1478,34-26,Bayview Avenue,St Johns Sideroad,Mulock Drive,34,Active,34,26,CE,CE,CE,2,Regional Road,34-24,34-27,4,York Region,1987.63232449684
1479,25-42,Major Mackenzie Drive East,Ninth Line,Reesor Road,25,Active,25,42,SE,SE,SE,2,Regional Road,25-41,25-44,2,York Region,2071.92344503582
1480,69-22,Ninth Line,Hillsdale Drive,Aurora Road,69,Active,69,22,CE,CE,CE,3,Regional Road,69-20,End,2,York Region,2452.85844908964
1481,08-08,Woodbine Avenue,16th Avenue,Major Mackenzie Drive East,8,Active,8,8,SE,SE,SE,2,Regional Road,08-06,08-10,5,York Region,2033.22855828505
1482,77-28,Queensville Sideroad,2nd Concession Road,Leslie Street,77,Active,77,28,NO,NO,NO,3,Regional Road,77-26,77-29,2,York Region,2048.09234168272
1483,73-20,Rutherford Road,Keele Street,Dufferin Street,73,Active,73,20,SW,SW,SW,2,Regional Road,73-18,73-22,5,York Region,2134.03014890633
1484,79-44,Old Homestead Road,Highway 48,Park Road,79,Active,79,44,NO,NO,NO,3,Regional Road,79-40,79-48,2,York Region,3110.30617857111
1485,31-26E,Davis Drive Eastbound,Main Street North / Main Street South,Lundys Lane / Prospect Street,31,Active,31,26,CE,CE,CE,2,Regional Road,31-25,31-28,2,York Region,588.416386820513
1486,03-38,Kennedy Road,Queensville Sideroad,Holborn Road,3,Active,3,38,NO,NO,NO,3,Regional Road,03-36,03-40,2,York Region,2040.0620107059
1487,07-91N,Highway 7 - Bathurst Street Interchange Northbound,Highway 7,Bathurst Street,7,Active,7,91,SW,SW,SW,1,Regional Road,Start,End,2,York Region,490.220984877133
1488,79-35,Old Homestead Road,Kennedy Road,Highway 404 Extension,79,Active,79,35,NO,NO,NO,3,Regional Road,79-34,79-36,2,York Region,1420.16341730712
1489,01-12N,Yonge Street Northbound,Elgin Mills Road East / Elgin Mills Road West,19th Avenue / Gamble Road,1,Active,1,12,SE,SE,SE,2,Regional Road,01-08N,01-14N,2,York Region,2118.74318775642
1490,34-27,Bayview Avenue,Mulock Drive,Gorham Street / Water Street,34,Active,34,27,CE,CE,CE,3,Regional Road,34-26,34-28,3,York Region,1168.48582942793
1491,72-20,Langstaff Road,Keele Street,Dufferin Street,72,Active,72,20,SW,SW,SW,2,Regional Road,72-16,72-21,4,York Region,2131.6051101337
1492,08-03,Woodbine Avenue,Esna Park Drive / John Street,Highway 407,8,Active,8,3,SE,SE,SE,2,Regional Road,08-02,08-04,7,York Region,1780.47436648804
